<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,60,20191022,180000,2068.4000000,2068.4000000,2051.4000000,2052.0000000,202943
YNDX,60,20191022,190000,2052.0000000,2063.8000000,2050.0000000,2054.6000000,181460
YNDX,60,20191023,110000,2054.6000000,2067.6000000,2053.2000000,2062.0000000,74648
YNDX,60,20191023,120000,2061.8000000,2066.8000000,2060.8000000,2066.0000000,45854
YNDX,60,20191023,130000,2066.0000000,2069.0000000,2060.8000000,2065.8000000,53252
YNDX,60,20191023,140000,2065.2000000,2066.0000000,2060.4000000,2063.0000000,18245
YNDX,60,20191023,150000,2063.0000000,2063.4000000,2056.6000000,2058.0000000,54525
YNDX,60,20191023,160000,2058.0000000,2066.0000000,2056.0000000,2065.0000000,34072
YNDX,60,20191023,170000,2065.6000000,2068.0000000,2046.0000000,2050.4000000,113804
YNDX,60,20191023,180000,2050.4000000,2051.4000000,2032.0000000,2036.8000000,162195
YNDX,60,20191023,190000,2037.6000000,2049.8000000,2035.0000000,2046.6000000,85834
YNDX,60,20191024,110000,2049.0000000,2066.0000000,2041.6000000,2055.0000000,109895
YNDX,60,20191024,120000,2054.0000000,2063.6000000,2052.0000000,2063.0000000,43912
YNDX,60,20191024,130000,2063.0000000,2084.8000000,2062.0000000,2084.2000000,187519
YNDX,60,20191024,140000,2084.2000000,2092.0000000,2075.4000000,2076.6000000,128411
YNDX,60,20191024,150000,2076.6000000,2086.6000000,2076.4000000,2083.0000000,55396
YNDX,60,20191024,160000,2083.6000000,2089.0000000,2080.0000000,2084.4000000,64659
YNDX,60,20191024,170000,2084.4000000,2089.4000000,2070.2000000,2071.8000000,269699
YNDX,60,20191024,180000,2072.6000000,2083.0000000,2071.8000000,2074.0000000,205266
YNDX,60,20191024,190000,2074.0000000,2090.4000000,2074.0000000,2090.2000000,95818
YNDX,60,20191025,110000,2100.0000000,2140.0000000,2097.6000000,2121.2000000,310664
YNDX,60,20191025,120000,2121.4000000,2122.6000000,2100.2000000,2114.0000000,154190
YNDX,60,20191025,130000,2113.6000000,2137.0000000,2109.2000000,2134.8000000,162217
YNDX,60,20191025,140000,2134.0000000,2158.6000000,2041.0000000,2110.6000000,678771
YNDX,60,20191025,150000,2112.6000000,2113.0000000,2092.0000000,2103.0000000,152897
YNDX,60,20191025,160000,2102.2000000,2114.6000000,2090.2000000,2102.8000000,124546
YNDX,60,20191025,170000,2102.8000000,2105.0000000,2045.6000000,2057.0000000,424196
YNDX,60,20191025,180000,2057.0000000,2073.8000000,2045.4000000,2066.4000000,184079
YNDX,60,20191025,190000,2066.6000000,2074.4000000,2062.6000000,2064.0000000,82060
YNDX,60,20191028,110000,2073.4000000,2089.6000000,2073.4000000,2085.0000000,124770
YNDX,60,20191028,120000,2085.0000000,2086.0000000,2066.2000000,2080.0000000,106933
YNDX,60,20191028,130000,2080.8000000,2081.0000000,2072.0000000,2076.2000000,40943
YNDX,60,20191028,140000,2076.8000000,2077.8000000,2065.0000000,2070.8000000,38735
YNDX,60,20191028,150000,2071.6000000,2075.0000000,2066.2000000,2071.8000000,38201
YNDX,60,20191028,160000,2072.0000000,2074.0000000,2065.4000000,2072.8000000,33112
YNDX,60,20191028,170000,2071.4000000,2077.0000000,2065.2000000,2074.8000000,65206
YNDX,60,20191028,180000,2074.2000000,2095.0000000,2073.2000000,2092.4000000,177684
YNDX,60,20191028,190000,2092.2000000,2149.2000000,2088.6000000,2118.4000000,673397
YNDX,60,20191029,110000,2138.8000000,2152.8000000,2120.2000000,2133.0000000,156625
YNDX,60,20191029,120000,2133.0000000,2134.4000000,2127.2000000,2131.0000000,46085
YNDX,60,20191029,130000,2131.8000000,2133.0000000,2128.8000000,2130.4000000,25435
YNDX,60,20191029,140000,2130.0000000,2134.0000000,2121.0000000,2133.8000000,66993
YNDX,60,20191029,150000,2133.6000000,2133.8000000,2121.8000000,2128.8000000,67507
YNDX,60,20191029,160000,2128.8000000,2129.4000000,2105.8000000,2109.6000000,119854
YNDX,60,20191029,170000,2109.8000000,2137.0000000,2108.8000000,2132.2000000,156741
YNDX,60,20191029,180000,2133.2000000,2145.4000000,2127.6000000,2145.2000000,175152
YNDX,60,20191029,190000,2145.2000000,2146.6000000,2128.0000000,2134.4000000,85762
YNDX,60,20191030,110000,2142.2000000,2147.0000000,2134.4000000,2144.0000000,66950
YNDX,60,20191030,120000,2144.0000000,2145.8000000,2140.2000000,2142.0000000,34781
YNDX,60,20191030,130000,2142.0000000,2144.4000000,2136.6000000,2140.0000000,48851
YNDX,60,20191030,140000,2140.0000000,2164.6000000,2139.8000000,2157.2000000,176559
YNDX,60,20191030,150000,2156.8000000,2162.4000000,2150.0000000,2159.8000000,69128
YNDX,60,20191030,160000,2161.4000000,2163.6000000,2150.0000000,2159.6000000,52785
YNDX,60,20191030,170000,2159.6000000,2164.2000000,2146.4000000,2158.8000000,75478
YNDX,60,20191030,180000,2158.0000000,2158.0000000,2147.2000000,2153.8000000,52173
YNDX,60,20191030,190000,2153.8000000,2158.6000000,2147.0000000,2156.0000000,39409
YNDX,60,20191031,110000,2155.0000000,2158.0000000,2141.8000000,2152.6000000,64512
YNDX,60,20191031,120000,2152.0000000,2156.0000000,2146.2000000,2155.0000000,40189
YNDX,60,20191031,130000,2155.0000000,2157.8000000,2142.0000000,2145.4000000,69883
YNDX,60,20191031,140000,2144.6000000,2148.4000000,2142.6000000,2148.0000000,18154
YNDX,60,20191031,150000,2148.4000000,2158.0000000,2148.0000000,2153.8000000,51333
YNDX,60,20191031,160000,2153.8000000,2157.0000000,2143.0000000,2147.8000000,42016
YNDX,60,20191031,170000,2148.0000000,2164.8000000,2140.0000000,2153.8000000,137353
YNDX,60,20191031,180000,2153.8000000,2153.8000000,2115.0000000,2125.0000000,215234
YNDX,60,20191031,190000,2124.8000000,2133.6000000,2124.4000000,2125.8000000,50229
