<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KMAZ,60,20191016,150000,57.2000000,57.2000000,56.9000000,57.1000000,320
KMAZ,60,20191016,160000,57.2000000,57.8000000,57.0000000,57.8000000,760
KMAZ,60,20191016,170000,57.6000000,57.6000000,57.0000000,57.3000000,6530
KMAZ,60,20191016,180000,57.3000000,57.3000000,57.0000000,57.0000000,570
KMAZ,60,20191016,190000,57.3000000,57.3000000,57.0000000,57.0000000,150
KMAZ,60,20191017,110000,58.2000000,58.2000000,57.0000000,57.4000000,940
KMAZ,60,20191017,120000,57.4000000,57.4000000,57.1000000,57.1000000,1670
KMAZ,60,20191017,130000,57.1000000,57.3000000,57.1000000,57.3000000,760
KMAZ,60,20191017,140000,57.3000000,57.3000000,57.2000000,57.3000000,450
KMAZ,60,20191017,150000,57.3000000,57.3000000,57.0000000,57.2000000,2280
KMAZ,60,20191017,160000,57.2000000,57.3000000,57.0000000,57.0000000,2220
KMAZ,60,20191017,170000,57.0000000,57.0000000,56.6000000,56.9000000,1320
KMAZ,60,20191017,180000,57.2000000,57.2000000,57.2000000,57.2000000,60
KMAZ,60,20191017,190000,57.2000000,57.2000000,57.2000000,57.2000000,10
KMAZ,60,20191018,110000,57.6000000,57.6000000,57.0000000,57.0000000,150
KMAZ,60,20191018,120000,57.0000000,57.5000000,56.8000000,56.8000000,6930
KMAZ,60,20191018,130000,57.4000000,57.5000000,57.0000000,57.1000000,770
KMAZ,60,20191018,150000,57.3000000,57.3000000,57.1000000,57.3000000,880
KMAZ,60,20191018,160000,57.3000000,57.3000000,57.0000000,57.0000000,20
KMAZ,60,20191018,170000,57.3000000,57.3000000,57.3000000,57.3000000,80
KMAZ,60,20191018,180000,57.3000000,57.3000000,57.0000000,57.3000000,70
KMAZ,60,20191018,190000,57.3000000,57.3000000,57.3000000,57.3000000,80
KMAZ,60,20191021,110000,58.1000000,58.1000000,56.6000000,57.3000000,440
KMAZ,60,20191021,120000,57.3000000,57.3000000,57.1000000,57.1000000,120
KMAZ,60,20191021,130000,57.1000000,57.3000000,57.1000000,57.3000000,100
KMAZ,60,20191021,140000,57.1000000,57.3000000,57.0000000,57.3000000,130
KMAZ,60,20191021,150000,57.2000000,57.2000000,57.1000000,57.1000000,30
KMAZ,60,20191021,160000,57.1000000,57.4000000,57.0000000,57.4000000,800
KMAZ,60,20191021,170000,57.2000000,57.4000000,57.0000000,57.4000000,330
